沙头角口岸旁   瀚海翠庭高层2房全齐能看海  月底空出,5000, 沙头角,2室2厅2卫 69㎡ 东向 精装修 
标准居家花园式，业主诚意出租，寻找有缘的你,8300, 前海,3室2厅3卫 82㎡ 东南向 精装修 
新上房源富通蟠龙居 普通装修，紧急出租看房子有钥匙,4600, 西乡,2室1厅2卫 82.0㎡ 南向 精装修 
嘉宝田精装两房，业主诚心出租,6500, 笋岗,2室1厅2卫 63.16㎡ 东南向 简单装修 
壹城中心高楼层大四房精装出租，交通购物非常方便。,7500, 龙华,4室2厅4卫 89㎡ 南向 精装修 
坪山商业中心 六和城精装三房家私电齐全业主急租 随时可看房,3800, 坪山,3室2厅3卫 89㎡ 南向 精装修 
沙井地铁口200米 配置全齐 拎包入住,3800, 沙井,3室2厅3卫 104㎡ 东南向 精装修 
白领程序员上班族必看好房，精装修家私齐全，实图实价，随时看房,3900, 南头,1室1卫 30㎡ 东向 精装修 
振业天峦 3室2厅1卫  89平 精装修 配套成熟南北通透,3200, 龙岗中心城,3室2厅3卫 89㎡ 南北向 精装修 
邱屋小区 1室1厅1卫,800, 龙岗中心城,1室1厅1卫 30㎡ 南向 精装修 
华润悦府二期！豪华新房!已经空出来!下楼即是万象城!,25800, 后海,1室2厅1卫 108㎡ 南向 豪华装修 
恒星园 带厨房可烧饭，提供免费wifi  精致居家装修 设施,2240, 香蜜湖,1室1卫 23.00㎡ 西向 精装修 
团租价！临近地铁口，豪华装修一居室，家电全齐，拎包入住环境好,1380, 光明,1室1厅1卫 36.00㎡ 东南向 豪华装修 
志健时代广场 2室2厅1卫,3800, 横岗,2室2厅2卫 86㎡ 东南向 精装修 
海岸小学3房  湾厦泰福苑 精装修南向 家电齐全 随时入住,8000, 蛇口,3室2厅3卫 88㎡ 南向 精装修 
龙岗中心城 清林小学 城市花园 精装修 家私电全齐 随时可看,3000, 龙城国际,2室2厅2卫 80㎡ 西向 精装修 
近梅林地铁站 整租单间 拎包入住,2000, 上梅林,1室1厅1卫 40㎡ 南向 精装修 
新沙苑 1室2厅1卫,3500, 购物公园,1室2厅1卫 40㎡ 东向 
好房推荐 西丽套房 精装公寓房 温馨居住 家私电全齐 免中介,3000, 西丽,1室1厅1卫 35㎡ 南向 精装修 
皇岗村 1室0厅1卫 1320元月 南北通透 精装修,1320, 福田中心区,1室1卫 14㎡ 南北向 精装修 
红山6979精装两房 生活购物交通方便 资源多 好两房任选,2500, 民治,2室1厅2卫 45㎡ 东南向 精装修 
上梅林新村 1室1厅1卫,2800, 上梅林,1室1厅1卫 26㎡ 南向 精装修 
银座金钻 2室1厅1卫 5000元月 精装修 电梯房,5000, 人民南,2室1厅2卫 55.47㎡ 东南向 精装修 
打进电话减1月租金！深新大厦  正规小区房，临近地铁，想带您,2180, 下梅林,1室1卫 18.00㎡ 南向 精装修 
国贸地铁站 银座金钻 两房一厅 家私家电齐全 拎包入住,4350, 人民南,2室1厅2卫 55㎡ 南北向 精装修 
东龙新村 1室1厅1卫,1300, 民治,1室1厅1卫 40㎡ 南北向 简单装修 
星海名城5期一房一厅整租,4650, 前海,1室1厅1卫 41㎡ 南向 精装修 
罗湖1号公寓 一房一厅 拎包入住,3280, 人民南,1室1厅1卫 33㎡ 南向 精装修 
3号线爱联地铁口 精装电梯公寓 物业直租 拎包入住 停车方便,980, 大运,1室1厅1卫 35㎡ 南向 精装修 
金沙名都 2室 1厅1卫,1800, 沙井,2室1厅2卫 47㎡ 南北向 豪华装修 
花园小区供电南苑 103平3房9700带免费停车位 钥匙在手,9700, 蔡屋围,3室2厅3卫 103㎡ 东北向 精装修 
点看看！翰岭院 白住1个月，卧室通风也好~,1960, 上梅林,1室1卫 18.00㎡ 西向 精装修 
葵涌太润发市场旁|家私家电齐全  拎包入住,1300, 坪地,1室1厅1卫 35㎡ 南向 精装修 
志健时代广场 1室1厅1卫,1480, 横岗,1室1厅1卫 45㎡ 南北向 精装修 
诺德中央道 2室1厅1卫 5400元月 电梯房 南北通透,5400, 坂田,2室1厅2卫 70㎡ 北向 精装修 
星河世纪大厦 3室1厅1卫 7100元月 精装修 电梯房,7800, 福田中心区,3室1厅3卫 88㎡ 南向 精装修 
文锦花园 价格优惠 采光极好 通风 环境舒适 拎包入住 直租,2000, 黄贝岭,1室1卫 13㎡ 南向 精装修 
东泉新村 1室1厅1卫,2208, 民治,1室1厅1卫 35㎡ 南向 精装修 
万科金域华府 北欧风装修 电梯房 卧室带阳台,1790, 龙华,1室1卫 21.00㎡ 西向 精装修 
业主急租 科技园 松坪村东区 精装两房 家电齐全 拎包入住,5500, 科技园,2室2厅2卫 60㎡ 南向 精装修 
上南二街46号小区 1室0厅1卫,600, 沙井,1室1卫 22㎡ 东南向 精装修 
房子名称,房子价格,房子地段,房子简介
整租 嘉洲富苑 7号线沙尾站，家私家电齐全，拎包入住,7500, 新洲,3室2厅3卫 98㎡ 南向 豪华装修 
京基御景华城 32平米 精装1房0厅 西南向 有阳台,3800, 华强南,1室1卫 31.98㎡ 东北向 精装修 
汇隆中心 2室2厅1卫 7000元月 电梯房 配套齐全,7000, 民治,2室2厅2卫 60㎡ 南向 精装修 
"近地铁口，全新公寓房,带家私,个人.房源,采光充足,可做饭",1200, 龙华,1室1卫 20㎡ 南北向 精装修 
"熙璟城精装四房,业主诚心出租",7800, 平湖,4室2厅4卫 125.63㎡ 南向 简单装修 
四六号线龙胜双地铁口，精装三房，美学清新设计，家私家电齐全,5300, 民治,3室2厅3卫 94㎡ 南向 精装修 
复试电梯单间 本人实拍 家电家私齐全 无套路无中介,1099, 大浪,1室1卫 18㎡ 南北向 精装修 
中海康城花园精装3房，家私家电齐全，拎包入住,3800, 大运,3室2厅3卫 89㎡ 东南向 精装修 
(给您一个温馨的家)西丽长岭陂地铁口。京基御景峯精装三房出租,8100, 大学城,3室2厅3卫 110㎡ 南向 精装修 
直达福田会展中心 四号线地铁站精装两房（直租）,2380, 民治,2室1厅2卫 65㎡ 南向 精装修 
电梯房次新小区，带私家花园，两房便宜租！,3200, 领航城,2室1厅2卫 42.0㎡ 东向 精装修 
双地铁 精装四房 厅出阳台 居住舒适 看房方便,4500, 木棉湾,4室2厅4卫 112㎡ 南向 精装修 
珑门方正3房，装修温馨，配置全齐，领包入住,4000, 观澜,3室2厅3卫 82.00㎡ 南北向 精装修 
万科精装 4室2厅2卫 13000元月 看房方便,13000, 西丽,4室2厅4卫 135㎡ 西南向 精装修 
坪山商业中心 六和城精装三房家私电齐全业主急租 随时可看房,3800, 坪山,3室2厅3卫 89㎡ 南向 精装修 
水榭花都润雨居228大平面南北超大双阳台50平安静舒适,45000, 香蜜湖,4室2厅4卫 228.00㎡ 南北向 豪华装修 
近黄贝岭五号线 二号线 特价优惠 二房一厅 拎包入住,4500, 黄贝岭,2室1厅2卫 70㎡ 南向 精装修 
名门华府 宝体地铁精装4室2卫精装修户型方正高实用率,9200, 宝体,4室2厅4卫 93.87㎡ 西北向 精装修 
玉岭花园 1室1厅1卫,1550, 大芬,1室1厅1卫 38㎡ 南向 精装修 
正规1房，精美装修，家电齐全，拎包即住，交通便利，方便看房,2500, 沙头角,1室1卫 36㎡ 北向 精装修 
喜报！半岛花园(B区) 周边配套设施成熟 价格可议，家居齐全,2010, 后海,1室1卫 22.00㎡ 西向 精装修 
龙岗中心城 欧景城花园 精装修 全新家私 拎包入住 随时可看,4300, 龙城国际,3室2厅3卫 103㎡ 北向 精装修 
福新坊61号小区 1室0厅1卫,2800, 岗厦,1室1卫 30㎡ 南向 精装修 
滨海之窗花园 2室2厅0厨1卫82.0m整租拎包入住,10000, 后海,2室2厅2卫 82.00㎡ 东北向 精装修 
西丽 茶光 1室0厅1卫 2000元月 20平 南北通透,2000, 西丽,1室1卫 20㎡ 南向 简单装修 
民水民电 押一付一 龙胜地铁口精装公寓 立减500,1299, 龙华中心区,1室1卫 25㎡ 南向 精装修 
马山头村 2室1厅1卫,2800, 公明,2室1厅2卫 50㎡ 南向 精装修 
世纪春城(一期) 3室2厅2卫 精装修家私齐全 有钥匙,5300, 民治,3室2厅3卫 125㎡ 南北向 精装修 
近4号线 白石龙站 采光通风超好 家齐私家电齐.民乐澳门新村,1880, 梅林关口,1室1卫 20㎡ 南北向 精装修 
佳兆业城市广场(一期)  精装修 家电齐全 有空调 拎包住,1560, 坂田,1室1卫 23.00㎡ 南向 精装修 
后海新村 1室0厅1卫,1700, 南山中心区,1室1卫 25㎡ 南向 简单装修 
下梅林地铁口 宏安花园 电梯 50平 南向大一房一厅,4600, 下梅林,1室1厅1卫 52.00㎡ 东向 精装修 
每月返租金，新用户更优惠 临园大厦 打给我了解更多吧！,1800, 蛇口,1室1卫 19.00㎡ 西向 精装修 
笋岗~祥福雅居 1室1厅1卫 3800元配套齐全 豪华装修,3800, 笋岗,1室1厅1卫 42㎡ 南向 豪华装修 
四期 2室1厅1卫,3900, 深圳北站,2室1厅2卫 63㎡ 南向 精装修 
整租海印长城 2室2厅 西北,11500, 南山中心区,2室2厅2卫 108.00㎡ 西北向 精装修 
流塘豪华2房1厅 电梯房 大阳台大空间 装修时尚 家电齐全,3680, 流塘,2室1厅2卫 46.00㎡ 南向 豪华装修 
鼎太风华七期精装小两房诚意出租   月付,4500, 前海,2室1厅2卫 58.33㎡ 西向 精装修 
35区商住楼 1室0厅1卫,900, 新安,1室1卫 13㎡ 南向 简单装修 
居家小复式，精装出租性价比高,4500, 上水径,2室2厅2卫 70.27㎡ 南向 精装修 
急急急 店长 急租  价格还可以谈,5000, 皇岗,2室2厅2卫 68㎡ 南向 豪华装修 
双地铁口 精美复式公寓直租 时尚LOFT 拎包入住 可养宠物,2500, 西丽,1室1厅1卫 45㎡ 东南向 精装修 
横岭四区 1室0厅1卫,2200, 梅林关口,1室1卫 28㎡ 北向 精装修 
万科大厦楼上的公寓，商 住两用,5000, 龙岗中心城,3室2厅3卫 128㎡ 南向 精装修 
鸿基新都 104平精装大三房 3房2厅  精品热房 急租 急,4500, 观澜,3室2厅3卫 104.00㎡ 南向 精装修 
石岩同富裕 创富电子城御康华庭精装两居室部分家电招租车位充裕,2800, 石岩,2室2厅2卫 88㎡ 南北向 精装修 
中信红树湾(南区) 2室 2厅1卫,17000, 华侨城,2室2厅2卫 98㎡ 东南向 精装修 
科兴科学园上班优选精装修松坪山公园附近环境好配套全,2600, 科技园,1室1卫 35.0㎡ 南北向 精装修 
岗厦地铁口 岗厦村 精装两房一厅 压一 拎包入住 近会展中心,4300, 岗厦,2室1厅2卫 72㎡ 南向 精装修 
裕亨花园 1室1厅1卫,3000, 皇岗,1室1厅1卫 48㎡ 南向 精装修 
房子名称,房子价格,房子地段,房子简介
漾福居68平大两房 户型方正 厅出阳台 朝南向 看房有钥匙,6500, 华强南,2室2厅2卫 68㎡ 东南向 精装修 
泊林花园新上房源！！精装三室两厅 可办公可住家 看房随时可看,11000, 水贝,3室2厅3卫 95.11㎡ 西南向 精装修 
龙华地铁口 豪装三房 采光视野好，70万装修 看房方便,5600, 清湖,3室2厅3卫 136㎡ 东南向 豪华装修 
华隆园 1室0厅1卫 南北通透邻近东门,3600, 东门,1室1卫 42㎡ 东南向 精装修 
碧海湾地铁 三房 全齐出租 拎包入住 价格惊喜,7800, 碧海湾,3室2厅3卫 105㎡ 东南向 精装修 
观澜湖独栋别墅 带家私游泳池 住家会所接待必看 长堤,55000, 观澜,7室3厅7卫 438㎡ 东南向 豪华装修 
（家私全齐）翻身地铁口，花园社区，住家舒适,8500, 翻身路,4室2厅4卫 128.6㎡ 南向 精装修 
2005年楼盘 两个站到东门 交通方便 住家环境不错,3000, 笋岗,1室1卫 31㎡ 南向 精装修 
南光城市花园近海岸城，近南山书城站，一室一厅加书房，户型实用,5000, 南山中心区,2室1厅2卫 42.00㎡ 南向 精装修 
石观工业区大单间拎包入住,650, 大浪,1室1卫 30㎡ 南向 简单装修 
电梯中高层 龙园意境两房 南北通透 家私家电齐全,4500, 慢城,2室2厅2卫 76㎡ 南向 精装修 
（新出）金地鹭湖一号精装四房 采光通风极好 看房方便有钥匙,7600, 观澜,4室2厅4卫 135㎡ 东南向 豪华装修 
龙华清湖花半里三房两厅两卫 家私电器齐全 高层朝花园 实图,5300, 清湖,3室2厅3卫 78.32㎡ 东南向 精装修 
固戍大小单间一房一厅，带阳台南北通透无遮挡，交通生活便利,1050, 固戍,1室1卫 21㎡ 南向 精装修 
3号线直达购物公园 品牌公寓豪华装修 独立厨卫 超大阳台,5800, 石厦,2室1厅2卫 56㎡ 南向 精装修 
近宝体，宝安，双地铁，壹方城商圈精致两房，诚意出租,7000, 宝安中心区,2室2厅2卫 84.48㎡ 东南向 精装修 
万科麓城四期精装复式公寓，一共两个卫生间,5700, 上水径,3室2厅3卫 66㎡ 南向 简单装修 
太子山庄 可！ 打给我带你看房吧~,2140, 前海,1室1卫 18.00㎡ 南向 精装修 
宝安75区商住楼 1室 0厅1卫,1000, 流塘,1室1卫 18㎡ 南北向 精装修 
吉祥楼  精装大单间  干净清爽拎包住 邻近5号线五和地铁,2050, 坂田,1室1卫 20.00㎡ 西向 精装修 
融湖四房豪华装修，近地铁，周边配套成熟，家私齐全，拎包入住,6800, 平湖,3室2厅3卫 139㎡ 南北向 豪华装修 
"5,7号线双地铁口距离300米，采光超好拎包入住",2050, 西丽,1室1卫 22㎡ 南向 精装修 
松河瑞园 1室1厅1卫,1000, 松岗,1室1厅1卫 20㎡ 南向 精装修 
减2月房租！鸿荣源壹成中心花园 智能门锁，价格可谈，随时看房,1770, 龙华,1室1卫 21.00㎡ 南向 精装修 
压一付一 塘尾十三区 品牌公寓 1室0厅1卫 700元月,700, 福永,1室1卫 28㎡ 南北向 精装修 
精彩人生从租房开始，确认过眼神， 交通方便 好公寓遇上对的你,1000, 龙岗中心城,1室1卫 28㎡ 南北向 精装修 
警备区龙华公寓 2室 2厅1卫,3500, 龙华,2室2厅2卫 58㎡ 东南向 精装修 
石厦花园 清爽装修，拎包入住，位置安静，视线开阔,2410, 石厦,1室1卫 22.00㎡ 西向 精装修 
免中介，民水民电，近地铁，直通福田罗湖，拎包入住,1299, 龙华,1室1卫 35㎡ 南向 精装修 
可短租福田上梅林直达地铁口精装修拎包入住，可养宠物可押一,1600, 梅林关口,1室1卫 35㎡ 南向 精装修 
雅园居 3室2厅1卫,4300, 坂田,3室2厅3卫 95㎡ 南向 简单装修 
"华润悦府二期（真.实在租,随时可看房）,166平全齐入住",39000, 后海,4室2厅4卫 166㎡ 西向 豪华装修 
花园社区 鹏湾花园一村 中学旁 3房2厅 一家人幸福生活,4500, 沙头角,3室2厅3卫 85㎡ 南向 精装修 
兴东地铁口   家私全齐  拎包入住  清爽温馨,4500, 新安,2室1厅2卫 45㎡ 东南向 精装修 
裕亨花园 1室1厅1卫,3000, 皇岗,1室1厅1卫 48㎡ 南向 精装修 
颐安都会中央三期 3室2厅2卫 4500元月 精装修,4500, 大运,3室2厅3卫 89㎡ 东南向 精装修 
整租 地铁口精装电梯房拎包入住，民水民电，免费公区健身房,1299, 大浪,1室1卫 32㎡ 南向 精装修 
恒丰理想居 2室2厅1卫 近宝体翻身 精装修 南北通透,5100, 翻身路,2室2厅2卫 86㎡ 南向 精装修 
东部阳光花园 3室2厅2卫,5600, 沙头角,3室2厅3卫 89㎡ 东南向 简单装修 
宝安区一号线固戍站 万象新天附近 房东直租 免费停车位,1200, 桃源居,1室1卫 18㎡ 南北向 精装修 
随时看房！ 南头 常丰花园 有电梯 近1号线桃园地铁 价格可,2440, 南头,1室1卫 21.00㎡ 南向 精装修 
福民地铁口 福民新村 精装一房一厅采光好 拎包入住 近保税区,2700, 皇岗,1室1厅1卫 45㎡ 南向 精装修 
宏发君域 1室0厅1卫,800, 松岗,1室1卫 15㎡ 南向 精装修 
福田华强北好房出租 交通便利 大单间 全新家私 拎包住,2300, 华强北,1室1卫 300㎡ 南北向 精装修 
天安云谷 雪象花园！精装一房一厅！光线好！配置齐全！随时入住,1700, 坂田,1室1厅1卫 45㎡ 南向 精装修 
上班的看过来！满京华喜悦里华庭 精装大单间 拎包入住，无中介,1340, 龙岗中心城,1室1卫 14.00㎡ 东向 精装修 
裕安居 1室0厅1卫,1500, 新安,1室1卫 25㎡ 东南向 精装修 
深华公寓精装一室家私家电齐全,2800, 上梅林,1室1厅1卫 50㎡ 东向 精装修 
满京华喜悦里华庭三房精装修欧式风格带全家私家电拎包入,3300, 龙岗中心城,3室2厅3卫 89.0㎡ 南向 精装修 
幸福华府 1室1厅1卫,3100, 蔡屋围,1室1厅1卫 40㎡ 南向 精装修 
房子名称,房子价格,房子地段,房子简介
金苹果大三房出租精装修,5200, 清湖,3室2厅3卫 126㎡ 南向 精装修 
小水榭花都之称，带泳池花园四房，南北通透大阳台，人好,15500, 景田南,4室2厅4卫 114.39㎡ 东北向 精装修 
天汇城舒适小四房，地铁四房住此房者顺财源滚滚，可议价,4800, 公明,4室2厅4卫 89.00㎡ 南向 简单装修 
有钥匙看房 三号线草埔站300米 家私电器齐全 180度景观,5000, 草埔,3室2厅3卫 90㎡ 东南向 精装修 
给您一个温馨的家 西丽万科云城豪装两房出租 多套房源对比,5500, 西丽,2室1厅2卫 51㎡ 南向 精装修 
惠推荐 龙园意境华府2房  有山有水  朝南通风 阳台看学校,4000, 慢城,2室2厅2卫 76.26㎡ 南向 精装修 
星航华府 超高性价比 业主急租 看房基本都方便 拎包入住,6000, 宝安机场,5室2厅5卫 125㎡ 南向 精装修 
布心花园3房出租，南北通透采光良好3500月,3500, 布心,3室2厅3卫 84㎡ 南向 简单装修 
华南城10号公馆单间精装全齐家私家电随时看房拎包入住,2000, 平湖,1室1卫 51㎡ 南向 精装修 
，随时可看，中翠峰之畔 精装三室十万火急出租,4600, 布吉街,3室2厅3卫 96.97㎡ 东向 简单装修 
金众蓝钻风景花园 复式一房一厅 拎包入住 带家私,1700, 龙岗中心城,1室1厅1卫 48㎡ 南向 精装修 
松河瑞园 近地铁 精装三房两卫 宜家舒适 拎包入住,3500, 松岗,4室2厅4卫 89.33㎡ 南向 简单装修 
租房送加湿器1号线西乡站B口沃尔玛金港华庭65平2房家私全齐,5200, 西乡,2室2厅2卫 65㎡ 东北向 精装修 
博雅园 精装2房  周边设施齐全 采光亮,4500, 百鸽笼,2室2厅2卫 70㎡ 南向 精装修 
竹子林  海景公寓高楼单间  周边配套成熟，理想住所,4200, 竹子林,1室1卫 30㎡ 东南向 精装修 
特价 2室2厅1卫 3200元月 精装修 65平,3200, 上水径,2室2厅2卫 65㎡ 南向 精装修 
领尚花园温馨一房一厅，家私家电齐全，看房方便,4500, 领航城,1室1厅1卫 52㎡ 西南向 精装修 
科技园四十八区 采光充足，小区位置好，楼下有超市，交通方便,2350, 科技园,1室1卫 21.00㎡ 南向 精装修 
平湖佳兆业广场 2室1厅1卫,1300, 平湖,2室1厅2卫 65㎡ 南向 简单装修 
本人实拍 清湖地铁口精装7房 拎包入住可办公 业主急租随时看,11000, 清湖,7室2厅7卫 174㎡ 南北向 精装修 
朝南，安静，厅出阳台，南北通透，业主用心维护房子，免佣金,6000, 皇岗,2室1厅2卫 64㎡ 南向 精装修 
东顺公司住宅楼 三房两厅 豪华装修 家私家电齐全,4300, 沙头角,3室2厅3卫 95㎡ 东南向 精装修 
儒骏城立方 1室0厅1卫,800, 坂田,1室1卫 16㎡ 南向 精装修 
天健时尚新天地 1室1厅1卫 4700元月 精装修,4700, 景田北,1室1厅1卫 40㎡ 南向 精装修 
松河瑞园精装76平三房 南北通透 拎包入住 地铁口生活便利,4000, 松岗,3室2厅3卫 76㎡ 南北向 精装修 
黄贝   深业东岭  一房两房三房   怡景附近都有,1999, 黄贝岭,1室1卫 18㎡ 南向 精装修 
深物业新华城 2室 2厅1卫,4500, 龙华,2室2厅2卫 76㎡ 东南向 精装修 
哇 新出样板房层高3米3工作室手选新贵的醉爱优于半岛城邦天元,13000, 前海,2室2厅2卫 130.00㎡ 南向 豪华装修 
龙华租房 四六号线双地铁口 精装公寓 ，民水民电,1339, 美丽365花园,1室1卫 35㎡ 南向 精装修 
心语家园 漂亮一房一厅 近地铁 家电齐全 想租要快 随时看房,4500, 前海,1室1厅1卫 40.00㎡ 西南向 精装修 
桐林城市广场 1室1厅1卫,3300, 华强南,1室1厅1卫 21㎡ 南向 简单装修 
万盛百货附近超大单间，拎包入住，家电全齐，环境好交通方便,1380, 公明,1室1厅1卫 36㎡ 东南向 精装修 
免中介，毕业生押一付一，近地铁，直通福田罗湖，拎包入住,3300, 龙华,2室1厅2卫 80㎡ 南向 精装修 
南联 远洋新天地家园 3房2厅,4600, 南联,3室2厅3卫 64㎡ 东向 精装修 
福新坊61号小区 1室0厅1卫,2800, 岗厦,1室1卫 28㎡ 南向 精装修 
勤诚达，精装修大两房，五号线地铁100米，大花园社区,6200, 新安,2室2厅2卫 72㎡ 南向 精装修 
单间带厨房 紫玉花园  独门独户 安静舒适,2260, 莲花村,1室1卫 21.00㎡ 东向 精装修 
五和地铁站300米，单身情侣公寓，家电家具齐全，拎包入住。,1500, 坂田,1室1厅1卫 25㎡ 南北向 精装修 
茜坑新村 3室1厅1卫,2700, 龙华区政府,3室1厅3卫 86㎡ 南向 简单装修 
民水民电 押一付一 龙胜地铁口精装公寓,1299, 大浪,1室1卫 25㎡ 南向 精装修 
顶楼复式，依山看海，风景美丽，家私齐全拎包入住,10000, 大梅沙,5室2厅5卫 144㎡ 南向 精装修 
小区房|楼下深圳宝安万达广场 民水民电通燃气 有地下停车场,5500, 新安,2室1厅2卫 58㎡ 南向 精装修 
塘水围一区 1室1厅1卫,1650, 深圳北站,1室1厅1卫 30㎡ 南向 
汇海广场 龙华地铁口  家私家电齐全  学生立减100,2890, 龙华,1室1厅1卫 45㎡ 东南向 精装修 
实图实价，杨美地铁站300米，朝温温馨小单间，全新家私家电！,1200, 坂田,1室1卫 15.0㎡ 南北向 精装修 
泰安轩 1室0厅1卫 1280元月 配套齐全 南北通透,1280, 车公庙,1室1卫 14㎡ 南北向 精装修 
皇岗村 1室1厅1卫,2500, 皇岗,1室1厅1卫 35㎡ 西南向 精装修 
绿景虹湾 3室2厅2卫 8880元月 南北通透 90平,8880, 下梅林,3室2厅3卫 90㎡ 南向 精装修 
让梦飞起来 梦中的房子就在这 福永新村 30平整租,1280, 福永,1室1厅1卫 30.00㎡ 东南向 精装修 
裕亨花园 1室1厅1卫,3200, 皇岗,1室1厅1卫 48㎡ 南向 精装修 
房子名称,房子价格,房子地段,房子简介
南岭花园 3室2厅 南 装修保养好 看房方便,3200, 南岭,3室2厅3卫 89㎡ 南向 简单装修 
"近地铁口，全新公寓房,带家私,个人.房源,采光充足,可做饭",1200, 龙华,1室1卫 20㎡ 南北向 精装修 
大冲都市花园 80平精装两房 高楼层 拎包入住 近地铁口,9000, 大冲,2室2厅2卫 80㎡ 南向 豪华装修 
石龙仔全新一房一厅 公寓环境优美 干净卫生 智能门锁,1108, 石岩,1室1厅1卫 45㎡ 南北向 精装修 
急租！公明中央山精装三房 阳台可参观红花山 旁边6号地铁,4000, 公明,3室2厅3卫 96㎡ 南向 精装修 
"潜龙曼海宁(北区) 3室2厅2卫,家私家电齐全,地铁上塘站",6500, 民治,3室2厅3卫 89.00㎡ 南向 精装修 
地铁口精装公寓，家私家电齐全，方便停车，干净温馨随时看房,1300, 龙华,1室1卫 25㎡ 南北向 精装修 
可园五期 带家私家电，可拎包入住,6500, 百鸽笼,5室2厅5卫 102.83㎡ 北向 简单装修 
微棠社区公寓 24h专属客服安全保卫 精装修拎包住居住省心,1299, 龙华,1室1卫 31㎡ 南向 精装修 
金地鹭湖一号精装大四房 南北通透 家私齐全 看房方便,6000, 观澜,4室2厅4卫 133.86㎡ 南向 精装修 
精装两房，业主花心思装修，家私齐全，楼下天虹，楼下直达,4400, 宝安机场,2室2厅2卫 75㎡ 南向 精装修 
全新精装四房 家私电齐全 拎包入住 花园中间位置 居家方便,6600, 龙岗中心城,4室2厅4卫 143㎡ 南向 精装修 
尚书苑单间出租，楼下地铁九号线梅景站，近农批市场佐阾商圈,4000, 下梅林,1室1卫 35.00㎡ 西向 简单装修 
固戍地铁口 大小单间 独立厨卫 阳光好 方便停车 可短租,800, 领航城,1室1卫 20㎡ 南北向 精装修 
仅有一套！万科云城超di价四房，臻实房源，实图实价手慢拍大腿,12800, 西丽,4室2厅4卫 135㎡ 南向 豪华装修 
皇御苑单身公寓，价格贼便宜,3500, 皇岗,1室1厅1卫 40㎡ 南向 精装修 
带车位 真图实价 下梅林碧荔花园旁 宏安花园 电梯 南向两房,6500, 下梅林,2室2厅2卫 71.00㎡ 北向 精装修 
租金减免活动中！打给我了解更多吧，优惠都能谈~,2350, 科技园,1室1卫 20.00㎡ 西向 精装修 
龙平紫园 2室2厅1卫,3600, 龙岗中心城,2室2厅2卫 77㎡ 南向 精装修 
3号线塘坑地铁站直达罗湖东门老街 大单间带电梯阳台家电厨房,980, 东门,1室1卫 13㎡ 东向 简单装修 
(无） 龙光玖钻，4号线红山站旁，家私齐全，拎包入住,6500, 民治,3室2厅3卫 118.0㎡ 东南向 豪华装修 
皇洲花园 急速维修 生活便利 宽敞南卧 有阳台采光好,2450, 福华新村,1室1卫 23.00㎡ 南向 精装修 
西丽蓝天花园 2室1厅1卫,3225, 西丽,2室1厅2卫 64㎡ 东向 豪华装修 
点有惊喜！免租1个月 7月优惠多多~了解一下,2490, 景田北,1室 22.00㎡ 东向 精装修 
白石龙二区1室空间布局有致，和谐有序，清新空气自由穿行,2600, 梅林关口,1室1厅1卫 46㎡ 南向 精装修 
金水湾2房 拎包入住精装修 干净卫生小区环境好交通便利,3600, 盐田,2室1厅2卫 48㎡ 西北向 精装修 
龙昌大厦 1室1厅1卫,1100, 长龙,1室1厅1卫 20㎡ 南向 简单装修 
（无）上沙街市 地铁旁 精装大单间 带阳台 随时入住,2470, 上沙,1室1卫 21.00㎡ 南向 精装修 
维园大厦 装修很耐厮 齐全高层实景拍摄有钥匙,1990, 蛇口,1室1卫 22.00㎡ 东向 精装修 
鸿都双创公寓 翻身地铁站200米 企业员工宿舍8一12人间,4800, 宝安中心区,1室1厅1卫 50㎡ 南向 精装修 
壹村东心岭 1室0厅1卫,750, 坂田,1室1卫 15㎡ 南向 简单装修 
联系我带你看房！风临域 上限免租2个月！不满意随时退换,1450, 龙岗中心城,1室1卫 15.00㎡ 东向 精装修 
急！等您电话！熙湾  诚意租 首月免租金，装修很nice,2180, 科苑,1室1卫 20.00㎡ 南向 精装修 
户型  在租的高厅4居 别再为租房而烦恼了 来电！！,5500, 平湖,4室2厅4卫 125.67㎡ 东南向 精装修 
邱屋小区 1室1厅1卫,888, 龙岗中心城,1室1厅1卫 28㎡ 西南向 简单装修 
近地铁 福田上梅林直达可养宠物可押一可长短租,1980, 民治,1室1厅1卫 35㎡ 东南向 精装修 
欢迎来电垂询！天地峰景园  智能门锁，价格可谈，随时看房,2200, 桃源村,1室1卫 21.00㎡ 南向 精装修 
7号线地铁口公寓直租 全齐家私电器 拎包入住 免中介,2600, 桃源村,1室1厅1卫 30㎡ 南向 精装修 
荔苑小区(南区) 3室2厅1卫,6600, 南山中心区,3室2厅3卫 86.29㎡ 南向 精装修 
中海阳光玫瑰园 深大附中 丽湾大厦 南山公园 两室一厅,4700, 前海,2室1厅2卫 50㎡ 南向 精装修 
招商桃花园 3室2厅1卫 7100元月 配套齐全 电梯房,7100, 蛇口,3室2厅3卫 90㎡ 南向 精装修 
福民地铁口 水围村精装修单间 近保税区 家具齐全 拎包入住~,1700, 福田中心区,1室1卫 14㎡ 南向 精装修 
黄金山小区 1室0厅1卫,1000, 坂田,1室1卫 18㎡ 南向 精装修 
布吉沙湾社区 小两房 家电齐全,1500, 沙湾,2室2卫 35㎡ 南北向 精装修 
